true_province,predicted_province,baseline_count,candidate_count,change_candidate_minus_baseline
90,34,1,1,0
81,75,0,1,1
61,70,1,0,-1
88,82,1,0,-1
59,95,1,0,-1
79,67,0,1,1
89,81,1,0,-1
69,59,1,1,0
47,84,0,1,1
60,36,1,0,-1
65,60,0,1,1
85,60,1,1,0
93,49,1,1,0
99,47,0,1,1
48,20,1,0,-1
37,12,1,1,0
81,64,0,1,1
95,59,1,1,0
85,75,0,1,1
34,48,1,0,-1
81,17,0,1,1
75,78,0,1,1
34,37,1,0,-1
72,34,1,1,0
59,12,1,0,-1
75,72,1,0,-1
83,64,1,1,0
70,65,0,1,1
72,92,0,1,1
75,93,1,0,-1
71,94,1,0,-1
86,73,1,1,0
68,72,0,1,1
84,59,1,0,-1
61,88,0,1,1
81,24,0,1,1
74,17,1,0,-1
93,76,1,1,0
23,74,0,1,1
79,74,1,0,-1
60,89,0,1,1
48,11,1,1,0
17,71,0,1,1
73,78,0,1,1
19,49,0,1,1
71,19,1,0,-1
88,48,1,1,0
60,20,1,0,-1
70,66,1,1,0
11,72,0,1,1
25,98,1,1,0
81,83,1,0,-1
21,93,1,0,-1
17,14,0,1,1
26,93,1,0,-1
30,21,1,1,0
79,63,1,1,0
47,88,1,0,-1
81,62,1,1,0
19,99,0,1,1
68,79,0,1,1
70,72,1,0,-1
34,12,1,1,0
49,64,0,1,1
64,68,1,0,-1
95,60,1,0,-1
48,84,0,1,1
90,98,0,1,1
14,93,1,0,-1
24,98,1,0,-1
15,97,1,0,-1
34,36,0,1,1
25,21,1,1,0
66,79,0,1,1
49,61,1,1,0
82,27,1,1,0
84,60,0,1,1
21,48,1,0,-1
73,37,1,0,-1
21,37,1,0,-1
94,61,0,1,1
48,70,1,0,-1
22,75,1,0,-1
63,94,1,1,0
89,66,0,1,1
14,69,1,1,0
81,34,0,1,1
49,18,1,1,0
82,11,1,1,0
12,19,1,0,-1
15,89,0,1,1
49,83,0,1,1
89,72,1,0,-1
88,15,0,1,1
82,28,0,1,1
72,98,0,1,1
72,49,1,0,-1
23,37,1,0,-1
99,14,0,1,1
86,71,1,0,-1
14,49,1,1,0
14,30,1,0,-1
66,76,0,1,1
11,21,0,1,1
59,75,0,1,1
22,17,1,0,-1
72,99,0,1,1
36,11,1,0,-1
68,67,1,1,0
74,86,1,0,-1
72,24,1,0,-1
88,59,1,1,0
48,88,1,1,0
84,61,1,0,-1
93,11,1,0,-1
17,12,1,0,-1
47,60,0,1,1
76,38,1,0,-1
28,48,1,0,-1
63,66,1,1,0
99,17,1,0,-1
65,66,1,1,0
59,17,1,0,-1
48,22,0,1,1
97,83,1,0,-1
62,15,1,0,-1
90,19,1,1,0
83,60,1,1,0
86,64,0,1,1
36,48,1,1,0
72,62,1,0,-1
72,67,0,1,1
24,90,0,1,1
59,81,1,0,-1
20,21,1,1,0
65,93,1,0,-1
85,72,1,1,0
14,67,0,1,1
93,84,1,1,0
17,22,1,0,-1
99,18,1,1,0
75,82,1,1,0
47,64,0,1,1
67,65,0,1,1
26,19,1,1,0
81,30,0,1,1
25,72,1,1,0
89,73,0,1,1
62,92,1,0,-1
92,83,1,0,-1
85,69,0,1,1
28,12,1,0,-1
34,64,0,1,1
47,24,1,0,-1
60,34,1,0,-1
67,82,1,0,-1
59,68,1,0,-1
14,19,1,0,-1
85,48,0,1,1
66,82,1,0,-1
99,88,0,1,1
28,36,0,1,1
81,85,1,0,-1
18,97,1,0,-1
34,81,1,0,-1
92,36,0,1,1
